CODE,STATE,GP-ZONE
AB,ABIA,SE
AD,ADAMAWA,NE
AK,AKWA IBOM,SS
AN,ANAMBRA,SE
BA,BAUCHI,NE
BY,BAYELSA,SS
BN,BENUE,NC
BO,BORNO,NE
CR,CROSS RIVER,SS
DT,DELTA,SS
EB,EBONYI,SE
ED,EDO,SS
EK,EKITI,SW
EN,ENUGU,SE
FC,FCT-ABUJA,NC
GM,GOMBE,NE
IM,IMO,SE
JG,JIGAWA,NW
KD,KADUNA,NW
KN,KANO,NW
KT,KATSINA,NW
KB,KEBBI,NW
KG,KOGI,NC
KW,KWARA,NC
LA,LAGOS,SW
NS,NASSARAWA,NC
NG,NIGER,NC
OG,OGUN,SW
OD,ONDO,SW
OS,OSUN,SW
OY,OYO,SW
PL,PLATEAU,NC
RV,RIVERS,SS
SO,SOKOTO,NW
TR,TARABA,NE
YB,YOBE,NE
ZM,ZAMFARA,NW
