CODE,STATE,LGA,LAT,LON
AB,Abia,Aba North,5.4308921,7.5247243
AB,Abia,Aba South,5.4308921,7.5247243
AB,Abia,Arochukwu,5.4308921,7.5247243
AB,Abia,Bende,5.4308921,7.5247243
AB,Abia,Ikwuano,5.4308921,7.5247243
AB,Abia,Isiala Ngwa North,5.4308921,7.5247243
AB,Abia,Isiala Ngwa South,5.4308921,7.5247243
AB,Abia,Isuikwuato,5.4308921,7.5247243
AB,Abia,Obingwa,5.4308921,7.5247243
AB,Abia,Ohafia,5.4308921,7.5247243
AB,Abia,Osisioma,5.4308921,7.5247243
AB,Abia,Ugwunagbo,5.4308921,7.5247243
AB,Abia,Ukwa East,5.4308921,7.5247243
AB,Abia,Ukwa  West,5.4308921,7.5247243
AB,Abia,Umuahia North,5.4308921,7.5247243
AB,Abia,Umuahia  South,5.4308921,7.5247243
AB,Abia,Umu - Nneochi,5.4308921,7.5247243
AD,Adamawa,Demsa,9.3250497,12.4380581
AD,Adamawa,Fufore,9.3250497,12.4380581
AD,Adamawa,Ganye,9.3250497,12.4380581
AD,Adamawa,Gire 1,9.3250497,12.4380581
AD,Adamawa,Gombi,9.3250497,12.4380581
AD,Adamawa,Guyuk,9.3250497,12.4380581
AD,Adamawa,Hong,9.3250497,12.4380581
AD,Adamawa,Jada,9.3250497,12.4380581
AD,Adamawa,Lamurde,9.3250497,12.4380581
AD,Adamawa,Madagali,9.3250497,12.4380581
AD,Adamawa,Maiha,9.3250497,12.4380581
AD,Adamawa,Mayo - Belwa,9.3250497,12.4380581
AD,Adamawa,Michika,9.3250497,12.4380581
AD,Adamawa,Mubi North,9.3250497,12.4380581
AD,Adamawa,Mubi South,9.3250497,12.4380581
AD,Adamawa,Numan,9.3250497,12.4380581
AD,Adamawa,Shelleng,9.3250497,12.4380581
AD,Adamawa,Song,9.3250497,12.4380581
AD,Adamawa,Toungo,9.3250497,12.4380581
AD,Adamawa,Yola North,9.3250497,12.4380581
AD,Adamawa,Yola South,9.3250497,12.4380581
AK,Akwa Ibom,Abak,4.9299869,7.87216
AK,Akwa Ibom,Eastern Obolo,4.9299869,7.87216
AK,Akwa Ibom,Eket,4.9299869,7.87216
AK,Akwa Ibom,Esit Eket (uquo),4.9299869,7.87216
AK,Akwa Ibom,Essien Udim,4.9299869,7.87216
AK,Akwa Ibom,Etim Ekpo,4.9299869,7.87216
AK,Akwa Ibom,Etinan,4.9299869,7.87216
AK,Akwa Ibom,Ibeno,4.9299869,7.87216
AK,Akwa Ibom,Ibesikpo Asutan,4.9299869,7.87216
AK,Akwa Ibom,Ibiono Ibom,4.9299869,7.87216
AK,Akwa Ibom,Ika,4.9299869,7.87216
AK,Akwa Ibom,Ikono,4.9299869,7.87216
AK,Akwa Ibom,Ikot Abasi,4.9299869,7.87216
AK,Akwa Ibom,Ikot Ekpene,4.9299869,7.87216
