STATE,LGA,LAT,LON
"Abia","Aba North","5.4308921","7.5247243"
"Abia","Aba South","5.4308921","7.5247243"
"Abia","Arochukwu","5.4308921","7.5247243"
"Abia","Bende","5.4308921","7.5247243"
"Abia","Ikwuano","5.4308921","7.5247243"
"Abia","Isiala Ngwa North","5.4308921","7.5247243"
"Abia","Isiala Ngwa South","5.4308921","7.5247243"
"Abia","Isuikwuato","5.4308921","7.5247243"
"Abia","Obingwa","5.4308921","7.5247243"
"Abia","Ohafia","5.4308921","7.5247243"
"Abia","Osisioma","5.4308921","7.5247243"
"Abia","Ugwunagbo","5.4308921","7.5247243"
"Abia","Ukwa East","5.4308921","7.5247243"
"Abia","Ukwa  West","5.4308921","7.5247243"
"Abia","Umuahia North","5.4308921","7.5247243"
"Abia","Umuahia  South","5.4308921","7.5247243"
"Abia","Umu - Nneochi","5.4308921","7.5247243"
"Adamawa","Demsa","9.3250497","12.4380581"
"Adamawa","Fufore","9.3250497","12.4380581"
"Adamawa","Ganye","9.3250497","12.4380581"
"Adamawa","Gire 1","9.3250497","12.4380581"
"Adamawa","Gombi","9.3250497","12.4380581"
"Adamawa","Guyuk","9.3250497","12.4380581"
"Adamawa","Hong","9.3250497","12.4380581"
"Adamawa","Jada","9.3250497","12.4380581"
"Adamawa","Lamurde","9.3250497","12.4380581"
"Adamawa","Madagali","9.3250497","12.4380581"
"Adamawa","Maiha","9.3250497","12.4380581"
"Adamawa","Mayo - Belwa","9.3250497","12.4380581"
"Adamawa","Michika","9.3250497","12.4380581"
"Adamawa","Mubi North","9.3250497","12.4380581"
"Adamawa","Mubi South","9.3250497","12.4380581"
"Adamawa","Numan","9.3250497","12.4380581"
"Adamawa","Shelleng","9.3250497","12.4380581"
"Adamawa","Song","9.3250497","12.4380581"
"Adamawa","Toungo","9.3250497","12.4380581"
"Adamawa","Yola North","9.3250497","12.4380581"
"Adamawa","Yola South","9.3250497","12.4380581"
"Akwa Ibom","Abak","4.9299869","7.8721600"
"Akwa Ibom","Eastern Obolo","4.9299869","7.8721600"
"Akwa Ibom","Eket","4.9299869","7.8721600"
"Akwa Ibom","Esit Eket (uquo)","4.9299869","7.8721600"
"Akwa Ibom","Essien Udim","4.9299869","7.8721600"
"Akwa Ibom","Etim Ekpo","4.9299869","7.8721600"
"Akwa Ibom","Etinan","4.9299869","7.8721600"
"Akwa Ibom","Ibeno","4.9299869","7.8721600"
"Akwa Ibom","Ibesikpo Asutan","4.9299869","7.8721600"
"Akwa Ibom","Ibiono Ibom","4.9299869","7.8721600"
"Akwa Ibom","Ika","4.9299869","7.8721600"
"Akwa Ibom","Ikono","4.9299869","7.8721600"
"Akwa Ibom","Ikot Abasi","4.9299869","7.8721600"
"Akwa Ibom","Ikot Ekpene","4.9299869","7.8721600"
"Akwa Ibom","Ini","4.9299869","7.8721600"
"Akwa Ibom","Itu","4.9299869","7.8721600"
"Akwa Ibom","Mbo","4.9299869","7.8721600"
"Akwa Ibom","Mkpat Enin","4.9299869","7.8721600"
"Akwa Ibom","Nsit Atai","4.9299869","7.8721600"
"Akwa Ibom","Nsit Ibom","4.9299869","7.8721600"
"Akwa Ibom","Nsit Ubium","4.9299869","7.8721600"
"Akwa Ibom","Obot Akara","4.9299869","7.8721600"
"Akwa Ibom","Okobo","4.9299869","7.8721600"
"Akwa Ibom","Onna","4.9299869","7.8721600"
"Akwa Ibom","Oron","4.9299869","7.8721600"
"Akwa Ibom","Oruk Anam","4.9299869","7.8721600"
"Akwa Ibom","Udung Uko","4.9299869","7.8721600"
"Akwa Ibom","Ukanafun","4.9299869","7.8721600"
