ID,Name
"1","Abia State University\, Uturu."
"2","Abubakar Tafawa Balewa University\, Bauchi"
"3","Achievers University\, Owo"
"4","Adamawa State University Mubi"
"5","Adekunle Ajasin University\, Akungba."
"6","Adeleke University\,Ede."
"7","Afe Babalola University\, Ado-Ekiti - Ekiti State"
"8","African University of Science & Technology\, Abuja"
"9","Ahmadu Bello University\, Zaria"
"10","Ajayi Crowther University\, Ibadan"
"11","Akwa Ibom State University of Technology\, Uyo"
"12","Al-Hikmah University\, Ilorin"
"13","Ambrose Alli University\, Ekpoma\,"
"14","American University of Nigeria\, Yola"
"15","Anambra State University of Science & Technology\, Uli"
"16","Babcock University\,Ilishan-Remo"
"17","Bauchi State University\, Gadau"
"18","Bayero University\,Kano"
"19","Baze University"
"20","Bells University of Technology\, Otta"
"21","Benson Idahosa University\,Benin City"
"22","Benue State University\, Makurdi."
"23","Bingham University\, New Karu"
"24","Bowen University\, Iwo"
"25","Bukar Abba Ibrahim University\, Damaturu."
"26","Caleb University\, Lagos"
"27","Caritas University\, Enugu"
"28","CETEP City University\, Lagos"
"29","Covenant University Ota"
"30","Crawford University Igbesa"
"31","Crescent University\,"
"32","Cross River State University of Science &Technology\, Calabar"
"33","Delta State University Abraka"
"34","Ebonyi State University\, Abakaliki"
"35","Ekiti State University"
"36","Elizade University\, Ilara-Mokin"
"37","Enugu State University of Science and Technology\, Enugu"
"38","Evangel University\, Akaeze"
"39","Federal University Gashua"
"40","Federal University of Petroleum Resources\, Effurun"
"41","Federal University of Technology\, Akure"
"42","Federal University of Technology\, Minna."
"43","Federal University of Technology\, Owerri"
"44","Federal University\, Dutse\, Jigawa State"
"45","Federal University\, Dutsin-Ma\, Katsina"
"46","Federal University\, Kashere\, Gombe State"
"47","Federal University\, Lafia\, Nasarawa State"
"48","Federal University\, Lokoja\, Kogi State"
"49","Federal University\, Ndufu-Alike\, Ebonyi State"
"50","Federal University\, Otuoke\, Bayelsa"
"51","Federal University\, Oye-Ekiti\, Ekiti State"
"52","Federal University\, Wukari\, Taraba State"
"53","Federal University\,Birnin Kebbi."
"54","Federal University\,Gusau."
"55","Fountain Unveristy\,Oshogbo"
"56","Godfrey Okoye University\, Ugwuomu-Nike - Enugu State"
"57","Gombe State Univeristy\, Gombe"
"58","Gregory University\, Uturu"
"59","Ibrahim Badamasi Babangida University\, Lapai"
"60","Igbinedion University Okada"
"61","Ignatius Ajuru University of Education\,Rumuolumeni."
"62","Imo State University\, Owerri"
"63","Joseph Ayo Babalola University\, Ikeji-Arakeji"
"64","Kaduna State University\, Kaduna"
"65","Kano University of Science & Technology\, Wudil"
"66","Katsina University\, Katsina"
"67","Kebbi State University\, Kebbi"
"68","Kogi State University Anyigba"
"69","Kwara State University\, Ilorin"
"70","Ladoke Akintola University of Technology\, Ogbomoso"
"71","Lagos State University Ojo\, Lagos."
"72","Landmark University\,Omu-Aran."
"73","Lead City University\, Ibadan"
"74","Madonna University\, Okija"
"75","Mcpherson University\, Seriki Sotayo\, Ajebo"
"76","Michael Okpara Uni. of Agric.\, Umudike"
"77","Modibbo Adama University of Technology\, Yola"
"78","Nasarawa State University\, Keffi"
"79","National Open University of Nigeria\, Lagos."
"80","Niger Delta Unversity\, Yenagoa"
"81","Nigerian Defence Academy\,Kaduna"
"82","Nigerian-Turkish Nile University\, Abuja"
"83","Nnamdi Azikiwe University\, Awka"
"84","Northwest University\, Kano"
"85","Novena University\, Ogume"
"86","Obafemi Awolowo University\,Ile-Ife"
"87","Obong University\, Obong Ntak"
"88","Oduduwa University\, Ipetumodu - Osun State"
"89","Olabisi Onabanjo University Ago-Iwoye"
"90","Ondo State University of Science & Technology\, Okitipupa"
"91","Osun State University\, Oshogbo"
"92","Pan-African University\, Lagos"
"93","Paul University\, Awka - Anambra State"
"94","Plateau State University\, Bokkos"
"95","Police Academy Wudil"
"96","Redeemer's University\, Mowe"
"97","Renaissance University\,Enugu"
"98","Rhema University\, Obeama-Asa - Rivers State"
"99","Rivers State University of Science & Technology"
"100","Salem University\,Lokoja"
"101","Samuel Adegboyega University\,Ogwa."
"102","Sokoto State University\, Sokoto"
"103","Southwestern University\, Oku Owa"
"104","Tai Solarin Univ. of Education\, Ijebu-Ode"
"105","Tansian University\,Umunya"
"106","Taraba State University\, Jalingo"
"107","Technical University\,Ibadan"
"108","Umaru Musa Yar'Adua University\, Katsina"
"109","University of Abuja\, Gwagwalada"
"110","University of Agriculture\, Abeokuta."
"111","University of Agriculture\, Makurdi."
"112","University of Benin"
"113","University of Calabar"
"114","University of Ibadan"
"115","University of Ilorin"
"116","University of Jos"
"117","University of Lagos"
"118","University of Maiduguri"
"119","University of Mkar\, Mkar"
"120","University of Nigeria\, Nsukka"
"121","University of Port-Harcourt"
"122","University of Uyo"
"123","Usumanu Danfodiyo University"
"124","Veritas University"
"125","Wellspring University\, Evbuobanosa - Edo State"
"126","Wesley Univ. of Science & Tech.\,Ondo"
"127","Western Delta University\, Oghara"
"128","Wukari Jubilee University\,"
"129","Wukari Jubilee University\,Wukari"
