ID,ACRONYM,NAME
"1","absu","Abia State University"
"2","atbu","Abubakar Tafawa Balewa University"
"3","achievers","Achievers University"
"4","adsu","Adamawa State University"
"5","aaua","Adekunle Ajasin University"
"6","adeleke","Adeleke University"
"7","abuad","Afe Babalola University"
"8","abu","Ahmadu Bello University"
"9","ajayi","Ajayi Crowther University"
"10","akutech","Akwa Ibom State University"
"11","al-hikmah","Al-Hikmah University"
"12","aau","Ambrose Alli University"
"13","aun","American University of Nigeria"
"14","ansu","Anambra State University"
"15","basug","Bauchi State University"
"16","babcock","Babcock University"
"17","basu","Bauchi State University"
"18","buk","Bayero University Kano"
"19","baze","Baze University"
"20","bells","Bells University of Technology"
"21","biu","Benson Idahosa University"
"22","bsu","Benue State University"
"23","Bingham","Bingham University"
"24","bu","Bowen University"
"25","bukar","Bukar Abba Ibrahim University"
"26","caleb","Caleb University"
"27","caritas","Caritas University"
"28","catholic","Catholic University of Nigeria"
"29","cetep","Cetep University"
"30","cu","Covenant University"
"31","crawford","Crawford University"
"32","crescent","Crescent University"
"33","crutech","Cross River State University of Technology"
"34","delsu","Delta State University"
"35","ebsu","Ebonyi State University"
"36","eksu","Ekiti State University"
"37","esut","Enugu State University Of Science And Technology"
"38","fuam","Federal University Of Agriculture, Makurdi"
"39","fupre","Federal University of Petroleum Resource"
"40","futa","Federal University of Technology Akure"
"41","futminna","Federal University of Technology Minna"
"42","futyola","Federal University of Technology Yola"
"43","futo","Federal University of Technology, Owerri"
"44","fud","Federal University, Dutse"
"45","fudm","Federal University, Dutsin-ma"
"46","fuk","Federal University, Kashere"
"47","ful","Federal University, Lafia"
"48","fulokoja","Federal University, Lokoja"
"49","funai","Federal University, Ndufu-alike"
"50","fuotuoke","Federal University, Otuoke"
"51","fuoye","Federal University, Oye-ekiti"
"52","fuwukari","Federal University, Wukari"
"53","fountain","Fountain University"
"54","go","Godfrey Okoye University"
"55","gomsu","Gombe State university"
"56","ibbu","Ibrahim Badamasi Babangida University"
"57","iuo","Igbinedion University"
"58","imsu","Imo State University"
"59","jabu","Joseph Ayo Babalola University"
"60","kasu","Kaduna State university"
"61","kust","Kano University Of Science And Technology"
"62","katsu","Katsina University"
"63","ksusta","Kebbi State University Of Science And Technology"
"64","ksu","kogi State University"
"65","kwasu","Kwara State University"
"66","kwararafa","Kwararafa University"
"67","lautech","Ladoke Akintola University of Technology"
"68","lasu","Lagos State University"
"69","Landmark","Landmark University"
"70","lcu","Lead City University"
"71","madonna","Madonna University"
"72","moua","Michael Okpara University of Agriculture"
"73","Nsuk","Nasarawa State University"
"74","noun","National Open University of Nigeria"
"75","ndu","Niger Delta University"
"76","ntnu","Nigeria Turkish Nile University"
"77","unizik","Nnamdi Azikiwe University"
"78","novena","Novena University"
"79","oau","Obafemi Awolowo University"
"80","ou","Obong University"
"81","oduduwa","Oduduwa University"
